comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.44,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Boston Globe,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,other,800,2018
,Contract: Yes,$0.63,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Boston Globe,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2016
"""Submitted to print op-ed, initially rejected, picked up for on-line only.""",Contract: No,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,Boston Globe,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2015
"""Newspaper Sunday section pays 50 cents a word up to $750 for anything from personal essays to heavily reported news analysis. ""","Contract: Verbal or ""handshake"" agreement",$0.40,False,Medium reporting,,ng-hide,Platform: digital,Boston Globe,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,~1500,2015
,Contract: ,$0.43,False,,,ng-hide,Platform: print,Boston Globe,,Rights: ,"criticism, review, or arts/entertainment converage",700,2013
"""Editor was once a free lance writer, so he treats his writers well. Pays within 30 days of submission. Payment not based on publication date. $2,100 for approx. 2,000 words. $4,000 for investigative pieces. """,Contract: No,$0.70,False,Medium reporting,,ng-hide,Platform: digital,Leader's Edge Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,~3000,2014
,Contract: ,$0.35,False,,Paid in 15 days ,svg-1,Platform: digital,Los Angeles Times,,Rights: Other / I don't know,,1700-word,2017
"""Did not ask rate before publication (glad to have the opinion published, paid or unpaid, although I expected there would be payment.) Inquired after and was told $150. Paid promptly, after filling out paperwork.""",Contract: No,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,Los Angeles Times,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2015
"""We submitted the op-ed about 10 days ahead of our target publication date; heard back within 2 days; had some back and forth to address the editor's concerns; spent a little time in limbo as to exact run date and length. In the end, the piece ran at its original length, over 1,000, words, long for an op-ed. We got paid right away. Very positive experience.""",Contract: Yes,$0.10,False,Medium reporting,,ng-hide,Platform: digital,Los Angeles Times,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
"""$.50/word""",Contract: No,$0.53,False,Medium reporting,,ng-hide,Platform: print,Los Angeles Times,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,~1500,2014
,Contract: ,$0.44,False,,,ng-hide,,Los Angeles Times,,Rights: ,"criticism, review, or arts/entertainment converage",900,2013
,Contract: ,$200,True,,,ng-hide,,Los Angeles Times,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,,,,,ng-hide,Platform: print,Los Angeles Times,,Rights: ,,,2013
"""Editor was a gem to work with. Welcomed another cold pitch a few months later.""","Contract: Verbal or ""handshake"" agreement",$0.13,False,Little to no reporting,,ng-hide,Platform: digital,Bedsider,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",~1500,2014
"""Editor was a pleasure to work with. Very clear that payment takes 6 months after publication so I knew what I was getting into. Great feedback and paid close attention to the piece without being overbearing. Only drawback is the amount of pay for the level of work.""",Contract: Yes,$0.10,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,This Magazine (canada),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2000,2017
,Contract: Yes,$0.05,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,This Magazine (canada),Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2017
,Contract: Yes,$0.05,False,Little to no reporting,Longer than 3 months ,svg-3,Platform: digital,This Magazine (canada),Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2017
"""Took almost a year and multiple inquiries to receive payment.""",Contract: ,$0.10,False,Medium reporting,Longer than 3 months ,svg-4,Platform: print,This Magazine (canada),Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,fob,500,2016
"""“$300 Canadian. Non-profit, took just over a year from publication to receive payment.”""",Contract: ,$0.07,False,,,ng-hide,,This Magazine (canada),,Rights: ,feature,3000,2013
"""They have paid on time (after invoicing) repeatedly. ‘Community blog’ stories are unpaid.”""",Contract: ,$0.12,False,Solicited pitch (editor asked you to pitch),,ng-hide,,Shareable.net,,Rights: ,feature,~1250,2012
,Contract: ,$0.19,False,,Paid in 15 days ,svg-1,Platform: digital,Girlboss,,Rights: All rights,,800-word,2018
,Contract: Yes,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Girlboss,Referral (you had a connection who connected you to the editor),Rights: All rights,feature,600,2017
,Contract: Yes,$0.21,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,5280,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,700,2018
,Contract: Yes,$0.11,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,5280,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,700,2018
,Contract: Yes,$0.75,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,5280,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,fob,520,2018
,Contract: ,$0.25,False,,,ng-hide,,Grantland,,Rights: ,feature,4000,2013
,Contract: ,$0.25,False,,,ng-hide,Platform: digital,Grantland,,Rights: ,blog post,1000,2013
,Contract: Yes,$0.07,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Bark,Cold pitch (no pre-existing relationship),Rights: All rights,news story,450,2018
,Contract: No,$0.06,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Bark,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,500,2018
"""Basic rate of .30/word; more when rush.
Fast communication and with editor and copyeditor""",Contract: Yes,$0.67,False,Little to no reporting,,ng-hide,Platform: print,The Bark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,~375,2014
,Contract: No,$0.09,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Wear Your Voice,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",700,2017
,Contract: No,$0.06,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Wear Your Voice,Cold pitch (no pre-existing relationship),Rights: Secondary Rights/Reprint,news story,700,2017
"""Great experience!""",Contract: No,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Wear Your Voice,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",900,2016
,Contract: Yes,$0.15,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Cheapism.com,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,1000,2016
,Contract: ,$0.13,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Overland Literary Journal,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",900,2017
,Contract: ,$0.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Fivethirtyeight,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1300,2017
,Contract: No,$0.33,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Fivethirtyeight,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1500,2017
,Contract: ,$0.00,False,,,svg-false,Platform: digital,Bust,,Rights: Other / I don't know,,850-word,2018
,Contract: Yes,$0.07,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Bust,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",2000,2017
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Bust,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",-700,2017
,Contract: Yes,$0.05,False,Medium reporting,Paid in 3 months ,svg-2,Platform: print,Bust,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
"""Editor was very friendly and the suggestions for altering the piece were helpful.""",Contract: Yes,$0.06,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: print,Bust,Submission/spec (piece was written prior and then submitted for publication),Rights: Other / I don't know,fiction,900,2017
,Contract: Yes,$0.13,False,Medium reporting,,ng-hide,Platform: print,Bust,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,~750,2015
"""No pay for blog posts. """,Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Bust,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,~375,2014
,Contract: ,$50,True,,,ng-hide,Platform: print,Bust,,Rights: ,,,2013
,Contract: ,$100,True,,,ng-hide,Platform: print,Bust,,Rights: ,,,2013
,Contract: ,$0.10,False,,,ng-hide,,Bust,,Rights: ,,350-word,2013
,Contract: ,$50,True,,,ng-hide,,Bust,,Rights: ,, fob,2013
"""Editor accepted pitch but would not reveal exact payment until time for publishing. I was then told there would be no payment unless it generated a substantial amount of traffic (more than any other piece on their site in the past year had gotten).""",Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Portable,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
,Contract: No,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,Portable,Cold pitch (no pre-existing relationship),Rights: ,"criticism, review, or arts/entertainment converage",~750,2013
,"Contract: Verbal or ""handshake"" agreement",$0.06,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Open Culture,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",900,2016
"""Had to write a full-length, fully formatted sample review for Kirkus in addition to submitting clips and a resume before they'd assign a review for publication. Nice editor but too much work to review a single book (that editor assigned/I did not choose) for a $50 flat rate.""",Contract: Yes,$0.10,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Kirkus Reviews,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",500,2018
,Contract: ,$0.15,False,,Paid in 1 month ,svg-1,Platform: digital,Impose,,Rights: Other / I don't know,,400-word,2016
"""This online website pays for long-form features (profiles and Q&As) but also expects writers to pen reviews and news stories for free. Also, they apparently only pay for *some* features depending on how the site did that month. Be cautious.""",Contract: No,$0.01,False,Medium reporting,,ng-hide,Platform: digital,Impose,See below,Rights: Other / I don't know,profile or interview,~3000,2014
,Contract: ,$0.11,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Scary Mommy,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,870,2016
,Contract: ,$0.20,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Kcet Artbound,Assignment (editor came to you),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1000,2017
"""Delightful publication for freelancers""",Contract: Yes,$0.25,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Kcet Artbound,Assignment (editor came to you),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",800,2017
,Contract: ,$0.03,False,,Paid in 15 days ,svg-1,Platform: digital,The Inquisitr,,Rights: All rights,,400-word,2018
"""Rate is $5 per 2,000 page views.""",Contract: Yes,$0.01,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,The Inquisitr,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,350,2017
"""""Though their website at the time said they paid (this ws two issues ago), they ultimately didn't pay (and apologized for it).""""",Contract: ,,,,,ng-hide,,Hayden's Ferry Review,,Rights: ,,,2012
